Model type,Regularization,Iteration,Accuracy,L0 Precision,L1 Precision,L0 Recall,L1 Recall,L0 F1,L1 F1,
Validation Data,0.1,1,0.75,0.9285714285714286,0.3333333333333333,0.7647058823529411,0.6666666666666666,0.8387096774193549,0.4444444444444444,
Validation Data,0.1,2,0.75,0.9285714285714286,0.3333333333333333,0.7647058823529411,0.6666666666666666,0.8387096774193549,0.4444444444444444,
Validation Data,0.1,3,0.75,0.9285714285714286,0.3333333333333333,0.7647058823529411,0.6666666666666666,0.8387096774193549,0.4444444444444444,
Validation Data,0.1,4,0.8,0.9333333333333333,0.4,0.8235294117647058,0.6666666666666666,0.8749999999999999,0.5,
Validation Data,0.1,5,0.8,0.9333333333333333,0.4,0.8235294117647058,0.6666666666666666,0.8749999999999999,0.5,
Validation Data,0.1,6,0.85,0.9375,0.5,0.8823529411764706,0.6666666666666666,0.9090909090909091,0.5714285714285715,
Validation Data,0.1,7,0.85,0.9375,0.5,0.8823529411764706,0.6666666666666666,0.9090909090909091,0.5714285714285715,
Validation Data,0.1,8,0.85,0.9375,0.5,0.8823529411764706,0.6666666666666666,0.9090909090909091,0.5714285714285715,
Validation Data,0.1,9,0.85,0.9375,0.5,0.8823529411764706,0.6666666666666666,0.9090909090909091,0.5714285714285715,
Validation Data,0.1,10,0.9,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,
Validation Data,0.1,11,0.9,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,
Validation Data,0.1,12,0.9,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,
Validation Data,0.1,13,0.9,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,
Validation Data,0.1,14,0.9,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,
Validation Data,0.1,15,0.9,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,
Validation Data,0.1,16,0.9,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,
Validation Data,0.1,17,0.9,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,
Validation Data,0.1,18,0.9,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,
Validation Data,0.1,19,0.9,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,
Validation Data,0.1,20,0.9,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,
Validation Data,0.1,21,0.9,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,
Validation Data,0.1,22,0.9,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,
Validation Data,0.1,23,0.9,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,
Validation Data,0.1,24,0.9,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,
