Model type,Regularization,Iteration,Accuracy,L0 Precision,L1 Precision,L0 Recall,L1 Recall,L0 F1,L1 F1,
Validation Data,0.1,1,0.7,0.9090909090909091,0.4444444444444444,0.6666666666666666,0.8,0.7692307692307692,0.5714285714285714,
Validation Data,0.1,2,0.7,0.9090909090909091,0.4444444444444444,0.6666666666666666,0.8,0.7692307692307692,0.5714285714285714,
Validation Data,0.1,3,0.75,0.9166666666666666,0.5,0.7333333333333333,0.8,0.8148148148148148,0.6153846153846154,
Validation Data,0.1,4,0.75,0.9166666666666666,0.5,0.7333333333333333,0.8,0.8148148148148148,0.6153846153846154,
Validation Data,0.1,5,0.75,0.9166666666666666,0.5,0.7333333333333333,0.8,0.8148148148148148,0.6153846153846154,
Validation Data,0.1,6,0.75,0.9166666666666666,0.5,0.7333333333333333,0.8,0.8148148148148148,0.6153846153846154,
Validation Data,0.1,7,0.75,0.9166666666666666,0.5,0.7333333333333333,0.8,0.8148148148148148,0.6153846153846154,
Validation Data,0.1,8,0.8,0.9230769230769231,0.5714285714285714,0.8,0.8,0.8571428571428571,0.6666666666666666,
Validation Data,0.1,9,0.8,0.9230769230769231,0.5714285714285714,0.8,0.8,0.8571428571428571,0.6666666666666666,
Validation Data,0.1,10,0.8,0.9230769230769231,0.5714285714285714,0.8,0.8,0.8571428571428571,0.6666666666666666,
Validation Data,0.1,11,0.8,0.9230769230769231,0.5714285714285714,0.8,0.8,0.8571428571428571,0.6666666666666666,
Validation Data,0.1,12,0.8,0.9230769230769231,0.5714285714285714,0.8,0.8,0.8571428571428571,0.6666666666666666,
Validation Data,0.1,13,0.8,0.9230769230769231,0.5714285714285714,0.8,0.8,0.8571428571428571,0.6666666666666666,
Validation Data,0.1,14,0.8,0.9230769230769231,0.5714285714285714,0.8,0.8,0.8571428571428571,0.6666666666666666,
Validation Data,0.1,15,0.8,0.9230769230769231,0.5714285714285714,0.8,0.8,0.8571428571428571,0.6666666666666666,
Validation Data,0.1,16,0.8,0.9230769230769231,0.5714285714285714,0.8,0.8,0.8571428571428571,0.6666666666666666,
Validation Data,0.1,17,0.8,0.9230769230769231,0.5714285714285714,0.8,0.8,0.8571428571428571,0.6666666666666666,
Validation Data,0.1,18,0.8,0.9230769230769231,0.5714285714285714,0.8,0.8,0.8571428571428571,0.6666666666666666,
Validation Data,0.1,19,0.8,0.9230769230769231,0.5714285714285714,0.8,0.8,0.8571428571428571,0.6666666666666666,
Validation Data,0.1,20,0.8,0.9230769230769231,0.5714285714285714,0.8,0.8,0.8571428571428571,0.6666666666666666,
Validation Data,0.1,21,0.8,0.9230769230769231,0.5714285714285714,0.8,0.8,0.8571428571428571,0.6666666666666666,
Validation Data,0.1,22,0.8,0.9230769230769231,0.5714285714285714,0.8,0.8,0.8571428571428571,0.6666666666666666,
Validation Data,0.1,23,0.8,0.9230769230769231,0.5714285714285714,0.8,0.8,0.8571428571428571,0.6666666666666666,
Validation Data,0.1,24,0.8,0.9230769230769231,0.5714285714285714,0.8,0.8,0.8571428571428571,0.6666666666666666,
Validation Data,0.1,25,0.8,0.9230769230769231,0.5714285714285714,0.8,0.8,0.8571428571428571,0.6666666666666666,
