Model type,Regularization,Iteration,Accuracy,L0 Precision,L1 Precision,L0 Recall,L1 Recall,L0 F1,L1 F1,
Validation Data,0.1,1,0.6,0.9,0.3,0.5625,0.75,0.6923076923076923,0.4285714285714285,
Validation Data,0.1,2,0.65,0.9090909090909091,0.3333333333333333,0.625,0.75,0.7407407407407406,0.46153846153846156,
Validation Data,0.1,3,0.65,0.9090909090909091,0.3333333333333333,0.625,0.75,0.7407407407407406,0.46153846153846156,
Validation Data,0.1,4,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,5,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,6,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,7,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,8,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,9,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,10,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,11,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,12,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,13,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,14,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,15,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,16,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,17,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,18,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,19,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,20,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,21,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,22,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,23,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,24,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,25,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,26,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,27,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,28,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,29,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,30,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,31,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,32,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,33,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,34,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,35,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,36,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,37,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,38,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,39,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,40,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,41,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,42,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,43,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,44,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,45,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,46,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,47,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,48,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
Validation Data,0.1,49,0.8,0.9285714285714286,0.5,0.8125,0.75,0.8666666666666666,0.6,
