Model type,Regularization,Iteration,Accuracy,L0 Precision,L1 Precision,L0 Recall,L1 Recall,L0 F1,L1 F1,
Validation Data,0.1,1,0.8,1.0,0.5555555555555556,0.7333333333333333,1.0,0.846153846153846,0.7142857142857143,
Validation Data,0.1,2,0.85,1.0,0.625,0.8,1.0,0.888888888888889,0.7692307692307693,
Validation Data,0.1,3,0.85,1.0,0.625,0.8,1.0,0.888888888888889,0.7692307692307693,
Validation Data,0.1,4,0.85,1.0,0.625,0.8,1.0,0.888888888888889,0.7692307692307693,
Validation Data,0.1,5,0.85,1.0,0.625,0.8,1.0,0.888888888888889,0.7692307692307693,
Validation Data,0.1,6,0.85,1.0,0.625,0.8,1.0,0.888888888888889,0.7692307692307693,
Validation Data,0.1,7,0.85,1.0,0.625,0.8,1.0,0.888888888888889,0.7692307692307693,
Validation Data,0.1,8,0.85,1.0,0.625,0.8,1.0,0.888888888888889,0.7692307692307693,
Validation Data,0.1,9,0.85,1.0,0.625,0.8,1.0,0.888888888888889,0.7692307692307693,
Validation Data,0.1,10,0.85,1.0,0.625,0.8,1.0,0.888888888888889,0.7692307692307693,
Validation Data,0.1,11,0.85,1.0,0.625,0.8,1.0,0.888888888888889,0.7692307692307693,
Validation Data,0.1,12,0.85,1.0,0.625,0.8,1.0,0.888888888888889,0.7692307692307693,
Validation Data,0.1,13,0.85,1.0,0.625,0.8,1.0,0.888888888888889,0.7692307692307693,
Validation Data,0.1,14,0.85,1.0,0.625,0.8,1.0,0.888888888888889,0.7692307692307693,
Validation Data,0.1,15,0.9,1.0,0.7142857142857143,0.8666666666666667,1.0,0.9285714285714286,0.8333333333333333,
Validation Data,0.1,16,0.9,1.0,0.7142857142857143,0.8666666666666667,1.0,0.9285714285714286,0.8333333333333333,
Validation Data,0.1,17,0.9,1.0,0.7142857142857143,0.8666666666666667,1.0,0.9285714285714286,0.8333333333333333,
Validation Data,0.1,18,0.9,1.0,0.7142857142857143,0.8666666666666667,1.0,0.9285714285714286,0.8333333333333333,
Validation Data,0.1,19,0.9,1.0,0.7142857142857143,0.8666666666666667,1.0,0.9285714285714286,0.8333333333333333,
Validation Data,0.1,20,0.9,1.0,0.7142857142857143,0.8666666666666667,1.0,0.9285714285714286,0.8333333333333333,
Validation Data,0.1,21,0.9,1.0,0.7142857142857143,0.8666666666666667,1.0,0.9285714285714286,0.8333333333333333,
Validation Data,0.1,22,0.9,1.0,0.7142857142857143,0.8666666666666667,1.0,0.9285714285714286,0.8333333333333333,
Validation Data,0.1,23,0.9,1.0,0.7142857142857143,0.8666666666666667,1.0,0.9285714285714286,0.8333333333333333,
Validation Data,0.1,24,0.9,1.0,0.7142857142857143,0.8666666666666667,1.0,0.9285714285714286,0.8333333333333333,
Validation Data,0.1,25,0.9,1.0,0.7142857142857143,0.8666666666666667,1.0,0.9285714285714286,0.8333333333333333,
Validation Data,0.1,26,0.9,1.0,0.7142857142857143,0.8666666666666667,1.0,0.9285714285714286,0.8333333333333333,
Validation Data,0.1,27,0.9,1.0,0.7142857142857143,0.8666666666666667,1.0,0.9285714285714286,0.8333333333333333,
Validation Data,0.1,28,0.9,1.0,0.7142857142857143,0.8666666666666667,1.0,0.9285714285714286,0.8333333333333333,
Validation Data,0.1,29,0.9,1.0,0.7142857142857143,0.8666666666666667,1.0,0.9285714285714286,0.8333333333333333,
Validation Data,0.1,30,0.9,1.0,0.7142857142857143,0.8666666666666667,1.0,0.9285714285714286,0.8333333333333333,
Validation Data,0.1,31,0.9,1.0,0.7142857142857143,0.8666666666666667,1.0,0.9285714285714286,0.8333333333333333,
Validation Data,0.1,32,0.9,1.0,0.7142857142857143,0.8666666666666667,1.0,0.9285714285714286,0.8333333333333333,
Validation Data,0.1,33,0.9,1.0,0.7142857142857143,0.8666666666666667,1.0,0.9285714285714286,0.8333333333333333,
Validation Data,0.1,34,0.95,1.0,0.8333333333333334,0.9333333333333333,1.0,0.9655172413793104,0.9090909090909091,
Validation Data,0.1,35,0.95,1.0,0.8333333333333334,0.9333333333333333,1.0,0.9655172413793104,0.9090909090909091,
Validation Data,0.1,36,0.95,1.0,0.8333333333333334,0.9333333333333333,1.0,0.9655172413793104,0.9090909090909091,
Validation Data,0.1,37,0.95,1.0,0.8333333333333334,0.9333333333333333,1.0,0.9655172413793104,0.9090909090909091,
Validation Data,0.1,38,0.95,1.0,0.8333333333333334,0.9333333333333333,1.0,0.9655172413793104,0.9090909090909091,
Validation Data,0.1,39,0.95,1.0,0.8333333333333334,0.9333333333333333,1.0,0.9655172413793104,0.9090909090909091,
Validation Data,0.1,40,0.95,1.0,0.8333333333333334,0.9333333333333333,1.0,0.9655172413793104,0.9090909090909091,
