Test Set,Kernel,deg,Negative Accuracy(Specificity),Positive Accuracy(Sensitivity),Total Accuracy
transfer_1,linear,-,40.24822695,81.01265823,0.548863636
transfer_2,linear,-,73.125,57.5,0.688636364
transfer_3,linear,-,79.05405405,62.5,0.736363636
transfer_4,linear,-,68.05555556,64.47368421,0.668181818
transfer_5,linear,-,71.875,57.60869565,0.659090909
transfer_6,linear,-,73.95833333,56.25,0.659090909
transfer_7,linear,-,75,51.5625,0.636363636
transfer_8,linear,-,87.5,60.41666667,0.727272727
transfer_9,linear,-,91.66666667,37.5,0.522727273
transfer_10,linear,-,56.48148148,52.67857143,0.545454545
transfer_11,linear,-,69.44444444,43.75,0.563636364
transfer_12,linear,-,74.19354839,50,0.636363636
transfer_13,linear,-,66.66666667,39.77272727,0.559090909
transfer_14,linear,-,56.81818182,45.45454545,0.522727273
transfer_15,linear,-,56.81818182,47.72727273,0.531818182
transfer_16,linear,-,56.89655172,44.23076923,0.509090909
transfer_17,linear,-,65.32258065,46.875,0.572727273
transfer_18,linear,-,77.85714286,51.25,0.681818182
transfer_19,linear,-,62.17948718,57.8125,0.609090909
transfer_20,linear,-,54.06976744,66.66666667,0.568181818
transfer_21,linear,-,47.5,100,0.522727273
transfer_22,linear,-,59.16666667,91.66666667,0.621212121
transfer_23,linear,-,68.75,87.5,0.704545455
transfer_24,linear,-,55,100,0.590909091
,,,,,
,,Averages:,66.15198074,60.59203851,0.607749369
