Test Set,Kernel,deg,Negative Accuracy(Specificity),Positive Accuracy(Sensitivity),Total Accuracy
transfer_1,linear,-,68.01470588,34.43396226,0.533057851
transfer_2,linear,-,65.5,56.25,0.632575758
transfer_3,linear,-,84.375,75,0.818181818
transfer_4,linear,-,71.42857143,75,0.727272727
transfer_5,linear,-,96.875,83.33333333,0.931818182
transfer_6,linear,-,96.42857143,56.25,0.818181818
transfer_7,linear,-,78.57142857,50,0.681818182
transfer_8,linear,-,85.71428571,100,0.909090909
transfer_9,linear,-,91.66666667,37.5,0.522727273
transfer_10,linear,-,60.71428571,56.25,0.590909091
transfer_11,linear,-,81.25,42.85714286,0.568181818
transfer_12,linear,-,50,39.28571429,0.431818182
transfer_13,linear,-,62.5,60,0.613636364
transfer_14,linear,-,70.83333333,60,0.659090909
transfer_15,linear,-,75,43.75,0.636363636
transfer_16,linear,-,75,58.33333333,0.704545455
transfer_17,linear,-,41.66666667,45,0.431818182
transfer_18,linear,-,54.16666667,50,0.522727273
transfer_19,linear,-,83.33333333,65,0.75
transfer_20,linear,-,75,25,0.386363636
transfer_21,linear,-,82.5,100,0.840909091
transfer_22,linear,-,87.5,100,0.886363636
transfer_23,linear,-,85,100,0.863636364
transfer_24,linear,-,55,100,0.590909091
,,,,,
,,Average:,74.08493814,63.05181192,0.668833219
